date,close,high,low,open,volume,symbol,Ticker
2020-08-25,207.55694580078125,207.6911807782171,204.3257087243152,204.3257087243152,23043700,MSFT,
2020-08-26,212.04421997070312,212.9455181391844,208.4102783372776,208.90887161504648,39600800,MSFT,
2020-08-27,217.2506866455078,221.6325116351616,210.3663118494096,213.71261815914224,57602200,MSFT,
2020-08-28,219.48472595214844,221.14348979856285,217.25066101319575,218.7847728757735,26292900,MSFT,
2020-08-31,216.2439117431641,219.28338679296544,215.07414347409025,217.6533863849085,28774200,MSFT,
2020-09-01,217.91224670410156,218.08482824866277,215.1891715245181,216.22470468342772,25725500,MSFT,
2020-09-02,222.11187744140625,223.27206250514445,217.9889403085082,218.58340731956525,34080800,MSFT,
2020-09-03,208.3527679443359,219.86825604076049,206.1091199593748,219.82990946115655,58400300,MSFT,
2020-09-04,205.42837524414065,209.36914886204937,196.7414180531124,206.24338281843615,59664100,MSFT,
2020-09-08,194.31558227539065,201.38212163532663,193.87451610130367,197.99746873966137,52924300,MSFT,
2020-09-09,202.5902404785156,205.99407404758168,198.18923479231876,199.0521865505347,45679000,MSFT,
2020-09-10,196.91395568847656,205.8981590864597,195.705841025255,204.61332200974817,35461500,MSFT,
2020-09-11,195.6291351318359,200.03973759723792,192.95401884082327,198.66860973787703,33620100,MSFT,
2020-09-14,196.95233154296875,200.5862734198402,195.629147791618,195.8305075657206,30375800,MSFT,
2020-09-15,200.18357849121097,201.14240395179937,198.40974553691615,199.83840074017849,21823900,MSFT,
2020-09-16,196.607177734375,201.97659192083623,196.21405575598743,201.94782832539485,26328100,MSFT,
2020-09-17,194.5552673339844,195.91679765967976,191.7267353023383,191.81302607786137,34011300,MSFT,
2020-09-18,192.1390380859375,195.26480389569204,188.16950116879477,194.4498110128883,55225300,MSFT,
2020-09-21,194.20053100585935,194.3635442330668,188.29417641630067,189.07082281309468,39839700,MSFT,
2020-09-22,198.87957763671875,199.53158656551457,193.75945312781633,196.6167489376903,33517100,MSFT,
2020-09-23,192.33078002929688,199.53156801783257,191.79384015579785,199.33979123685637,30803800,MSFT,
2020-09-24,194.82374572753903,197.10575498266016,190.9980269111035,191.62127223255615,31202500,MSFT,
2020-09-25,199.2630920410156,200.4328455125299,194.20048071309097,195.16890368391725,29437300,MSFT,
2020-09-28,200.81639099121097,203.81751912826357,199.4932072780414,202.19710188660275,32004900,MSFT,
2020-09-29,198.72618103027344,201.42049315342743,198.29471245278827,200.7301375772444,24221900,MSFT,
2020-09-30,201.6697540283203,203.25181013232543,198.03579746308637,199.1768020632968,33829100,MSFT,
2020-10-01,203.7120361328125,205.17903771787337,202.61897584138453,204.69962505267665,27158400,MSFT,
2020-10-02,197.70018005371097,202.30254416620252,197.07693486474676,199.43565141019656,33154800,MSFT,
2020-10-05,201.71766662597656,201.74643021386964,198.4576519031385,198.68777523679577,21331600,MSFT,
2020-10-06,197.4317169189453,201.5258903306347,196.3866008750534,200.22190199510823,28554300,MSFT,
2020-10-07,201.1903533935547,201.458823359074,198.2084055482004,198.5344027019716,25681100,MSFT,
2020-10-08,201.909423828125,202.49430781853212,199.74248402015564,201.8422990376708,19925800,MSFT,
2020-10-09,206.924072265625,206.97201645362597,202.53265092005668,202.53265092005668,26458000,MSFT,
2020-10-12,212.2839508056641,214.64266787262275,207.88294545944655,209.7814157720377,40461400,MSFT,
2020-10-13,213.6838531494141,215.93709894385265,211.35389955872688,213.5496181636081,28950800,MSFT,
2020-10-14,211.7661895751953,214.9878436739825,210.107425642433,213.81807545397243,23421700,MSFT,
2020-10-15,210.61561584472656,211.2867907781944,207.1158939415105,208.1610248706064,22733100,MSFT,
2020-10-16,210.61561584472656,213.1373169969354,210.2896186814017,211.0854309828959,26057900,MSFT,
2020-10-19,205.39956665039065,213.14687719644527,204.92015397771775,211.34428086543105,27625800,MSFT,
2020-10-20,205.81185913085935,208.41986529898944,204.3160938995377,206.91451708098484,22753500,MSFT,
2020-10-21,205.9556884765625,207.9883935404544,204.34485427779788,204.34485427779788,22724900,MSFT,
2020-10-22,206.04202270507812,207.1638468475484,202.9833668470655,205.12154373584983,22351500,MSFT,
2020-10-23,207.32681274414065,207.374756940382,204.38322636550816,206.17622518692104,18879600,MSFT,
